,Generation_number,Fitness,P_insert,P_reloc,Elit_prop,Nr_offsprings,Min_area,Max_area
32,32.0,0.8725376674698015,0.1,0.8,0.2,100.0,1000.0,2000.0
33,33.0,0.8725376674698015,0.1,0.8,0.2,100.0,1000.0,2000.0
34,34.0,0.8725376674698015,0.1,0.8,0.2,100.0,1000.0,2000.0
35,35.0,0.8732815921771444,0.1,0.8,0.2,100.0,1000.0,2000.0
36,36.0,0.8732815921771444,0.1,0.8,0.2,100.0,1000.0,2000.0
37,37.0,0.8732815921771444,0.1,0.8,0.2,100.0,1000.0,2000.0
38,38.0,0.873817520195562,0.1,0.8,0.2,100.0,1000.0,2000.0
39,39.0,0.8737830488224085,0.1,0.8,0.2,100.0,1000.0,2000.0
40,40.0,0.8741034094352129,0.1,0.8,0.2,100.0,1000.0,2000.0
41,41.0,0.8748930597178708,0.1,0.8,0.2,100.0,1000.0,2000.0
42,42.0,0.8749033290097536,0.1,0.8,0.2,100.0,1000.0,2000.0
43,43.0,0.8752921122563975,0.1,0.8,0.2,100.0,1000.0,2000.0
44,44.0,0.8762852917891579,0.1,0.8,0.2,100.0,1000.0,2000.0
45,45.0,0.8767807531298404,0.1,0.8,0.2,100.0,1000.0,2000.0
46,46.0,0.8770985187989397,0.1,0.8,0.2,100.0,1000.0,2000.0
47,47.0,0.877141177656028,0.1,0.8,0.2,100.0,1000.0,2000.0
48,48.0,0.8779353809319038,0.1,0.8,0.2,100.0,1000.0,2000.0
49,49.0,0.8779353809319038,0.1,0.8,0.2,100.0,1000.0,2000.0
50,50.0,0.8782903771440884,0.1,0.8,0.2,100.0,1000.0,2000.0
51,51.0,0.8783257920284955,0.1,0.8,0.2,100.0,1000.0,2000.0
52,52.0,0.8783497510180625,0.1,0.8,0.2,100.0,1000.0,2000.0
53,53.0,0.8783497510180625,0.1,0.8,0.2,100.0,1000.0,2000.0
54,54.0,0.8786535850340742,0.1,0.8,0.2,100.0,1000.0,2000.0
55,55.0,0.8786471029896802,0.1,0.8,0.2,100.0,1000.0,2000.0
56,56.0,0.8786471029896802,0.1,0.8,0.2,100.0,1000.0,2000.0
57,57.0,0.8786926359028373,0.1,0.8,0.2,100.0,1000.0,2000.0
58,58.0,0.8786471029896802,0.1,0.8,0.2,100.0,1000.0,2000.0
59,59.0,0.8792080514166765,0.1,0.8,0.2,100.0,1000.0,2000.0
60,60.0,0.8792080514166765,0.1,0.8,0.2,100.0,1000.0,2000.0
61,61.0,0.8792080514166765,0.1,0.8,0.2,100.0,1000.0,2000.0
62,62.0,0.8796876671352941,0.1,0.8,0.2,100.0,1000.0,2000.0
63,63.0,0.8795414965458743,0.1,0.8,0.2,100.0,1000.0,2000.0
64,64.0,0.8797779968895203,0.1,0.8,0.2,100.0,1000.0,2000.0
65,65.0,0.8799647223477165,0.1,0.8,0.2,100.0,1000.0,2000.0
66,66.0,0.879976365480075,0.1,0.8,0.2,100.0,1000.0,2000.0
67,67.0,0.879976365480075,0.1,0.8,0.2,100.0,1000.0,2000.0
68,68.0,0.8803750549861735,0.1,0.8,0.2,100.0,1000.0,2000.0
69,69.0,0.8803750549861735,0.1,0.8,0.2,100.0,1000.0,2000.0
